member_name,sitting_date,parliamentary_period,parliamentary_session,parliamentary_sitting,political_party,government,member_region,roles,member_gender,speech
κρητικος νικολαου παναγιωτης,03/07/1989,period 5,session 1,sitting 1,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male," Παρακαλείται ο Γραμματέας κ. Βουλγαράκης να συνοδεύσει το Μακαριότατο Αρχιεπίσκοπο Αθηνών και πάσης Ελλάδος κ. ΣΕΡΑΦΕΙΜ και τα συνοδεύοντα αυτόν μέλη της Ιεράς Συνόδου κατά την είσοδό τους στην Αίθουσα της Βουλής, προκειμένου να τελεσθεί αγιασμός.  . Στη συνέχεια τελείται ο καθιερωμένος αγιασμός."
κρητικος νικολαου παναγιωτης,03/07/1989,period 5,session 1,sitting 1,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male," Παρακαλείται ο κύριος Γραμματέας να συνοδεύσει την Ιερά Σύνοδο εκτός της Αιθούσης της Βουλής.  . Παρακαλείται ο συνάδελφος Βουλευτής κ. Σαδίκ Αμέτ, που ανήκει στο Μωαμεθανικό Θρήσκευμα να προσέλθει και να δώσει τον οριζόμενο από το Σύνταγμα όρκο επί του Κορανίου.  : ~""Ορκίζομαι στο όνομα του Παντοδύναμου Θεού και του μόνου αυτού Προφήτη ο οποίος είναι ο Μωάμεθ να είμαι πιστός στην πατρίδα και το δημοκρατικό πολίτευμα, να υπακούω στο Σύνταγμα και τους νόμους και να εκπληρώνω ευσυνείδητα τα καθήκοντά μου""."
κρητικος νικολαου παναγιωτης,03/07/1989,period 5,session 1,sitting 1,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male," Κύριοι συνάδελφοι, παρακαλώ τη Βουλή να εξουσιοδοτήσει το Προεδρείο για την επικύρωση των Πρακτικών της σημερινής συνεδριάσεως."
,03/07/1989,period 5,session 1,sitting 1,βουλη,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],,,," Μάλιστα, μάλιστα."
κρητικος νικολαου παναγιωτης,03/07/1989,period 5,session 1,sitting 1,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male, Η Βουλή παρέσχε τη ζητηθείσα εξουσιοδότηση. Με τη συναίνεση της Βουλής και ώρα 10.27` λύεται η συνεδρίαση για αύριο ημέρα Τρίτη 4 Ιουλίου 1989 και ώρα 18.00` με θέμα ημερησίας διατάξεως εκλογή Προέδρου Βουλής. Ο ΠΡΟΕΔΡΟΣΟΙ ΓΡΑΜΜΑΤΕΙΣ 
κρητικος νικολαου παναγιωτης,04/07/1989,period 5,session 1,sitting 2,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male," Υπάρχει κανείς εκ των κυρίων συναδέλφων, ο οποίος δεν ψήφισε; Κανείς. Κηρύσσεται περαιωμένη η ψηφοφορία και παρακαλούνται οι κύριοι ψηφολέκτες να μεταφέρουν την ψηφοδόχο στο χώρο των Πρακτικογράφων, προκειμένου ν' αρχίσει η διαλογή των ψηφοδελτίων και να γίνει η εξαγωγή του αποτελέσματος. Ο κ. Σταθόπουλος παρακαλείται να εποπτεύσει της διαλογής.    "
κρητικος νικολαου παναγιωτης,04/07/1989,period 5,session 1,sitting 2,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male," Κύριοι Βουλευτές, έχω την τιμή να ανακοινώσω στο Σώμα ότι ο Βουλευτής Έβρου και Υπουργός Μακεδονίας-Θράκης κ. Παναγιώτης Χατζηνικολάου με τηλεγράφημά του, δηλώνει ότι ψηφίζει τον υποψήφιο της Νέας Δημοκρατίας κ. Αθανάσιο Τσαλδάρη, διότι αδυνατεί να προσέλθει λόγω ματαιώσεως της πτήσεως συνεπεία βλάβης του αεροσκάφους. Επίσης κύριοι Βουλευτές, έχω την τιμή να ανακοινώσω στο Σώμα το αποτέλεσμα της διεξαχθείσης μυστικής ψηφοφορίας για την εκλογή του Προέδρου του Σώματος. Κατά τη διεξαχθείσα μυστική διά ψηφοδελτίων ψηφοφορία εψήφισαν 298 Βουλευτές. Μετά την καταμέτρηση και τη διαλογή των ψήφων ευρέθησαν ότι έλαβαν. Ο κ. Αθανάσιος Τσαλδάρης 141 ψήφους. Ο κ. Γιάννης Χαραλαμπόπουλος 126 ψήφους. Η κα Μαρία Δαμανάκη 30 ψήφους. Και ευρέθη και 1 λευκό ψηφοδέλτιο. Κατόπιν αυτού και σύμφωνα με το άρθρο 7 παρ. 3 του Κανονισμού, επειδή κανείς εκ των υποψηφίων συναδέλφων για το αξίωμα του Προέδρου δεν συγκέντρωσε την απόλυτη πλειοψηφία του συνόλου των βουλευτών θα επαναληφθεί η ψηφοφορία μεταξύ των δύο πλειοψηφησάντων συναδέλφων, του κ. Τσαλδάρη και του κ. Χαραλαμπόπουλου. Κύριοι συνάδελφοι, θα σας μοιρασθούν, επομένως, δύο ψηφοδέλτια και ένα λευκό και θα επαναληφθεί η ψηφοφορία κατά τον αυτό τρόπο. Καλούνται επί του καταλόγου οι κύριοι Ιωάννης Τραγάκης από τη Νέα Δημοκρατία και Παρασκευάς Φουντάς από το ΠΑΣΟΚ, και επί της ψηφοδόχου οι κύριοι Σπύρος Ταλιαδούρος από τη Νέα Δημοκρατία και Δημήτριος Ρέππας από το ΠΑΣΟΚ. Παρακαλώ να αρχίσει η ανάγνωση του καταλόγου.    "
κρητικος νικολαου παναγιωτης,04/07/1989,period 5,session 1,sitting 2,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male," Υπάρχει κανείς εκ των κυρίων συναδέλφων που δεν εψήφισε; Κανείς. Κηρύσσεται περαιωμένη η ψηφοφορία και παρακαλούνται οι κύριοι ψηφολέκτες, με εποπτεύοντα το συνάδελφο κ. Σωτηρόπουλο, να προχωρήσουν στη διαλογή των ψηφοδελτίων και την εξαγωγή του αποτελέσματος κατά την προηγούμενη διαδικασία. Κύριοι Βουλευτές, έχω την τιμή να ανακοινώσω στο Σώμα επιστολή των Βουλευτών του Συνασπισμού της Αριστεράς και της Προόδου, που απευθύνεται στο Προεδρείο της Βουλής και η οποία έχει ως εξής: ""Π ρ ο ς το Προεδρείο της Βουλής Οι παρακάτω Βουλευτές δηλώνουμε ότι συγκροτούμε στη Βουλή την Κοινοβουλευτική Ομάδα του ""ΣΥΝΑΣΠΙΣΜΟΥ ΤΗΣ ΑΡΙΣΤΕΡΑΣ ΚΑΙ ΤΗΣ ΠΡΟΟΔΟΥ""~ με Πρόεδρο τον Χαρίλαο Φλωράκη. ΧΑΡΙΛΑΟΣ ΦΛΩΡΑΚΗΣ ΛΕΩΝΙΔΑΣ ΚΥΡΚΟΣ ΝΙΚΟΣ ΚΑΛΟΥΔΗΣ ΑΝΔΡΟΥΛΑΚΗΣ ΔΗΜΗΤΡΙΟΣ ΓΑΛΑΝΟΣ ΝΙΚΟΛΑΟΣ ΓΙΑΝΝΑΡΟΣ ΓΡΗΓΟΡΗΣ ΓΙΩΤΑΣ ΕΥΣΤΑΘΙΟΣ ΔΑΜΑΝΑΚΗ ΜΑΡΙΑ ΔΡΑΓΑΣΑΚΗΣ ΓΙΑΝΝΗΣ ΔΡΕΤΤΑΚΗΣ ΕΜΜΑΝΟΥΗΛ ΚΑΠΠΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ ΚΑΤΣΑΡΟΣ ΙΩΑΝΝΗΣ ΚΟΡΑΚΑΣ ΕΥΣΤΡΑΤΙΟΣ ΚΟΣΙΩΝΗΣ ΠΑΝΑΓΙΩΤΗΣ ΚΟΤΑΜΑΝΙΔΟΥ ΕΥΑΓΓΕΛΙΑ ΚΩΣΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ ΛΕΒΕΝΤΗΣ ΑΘΑΝΑΣΙΟΣ ΛΕΝΤΑΚΗΣ ΑΝΔΡΕΑΣ ΜΠΙΤΣΑΝΗΣ ΗΛΙΑΣ ΝΕΣΤΩΡ ΣΤΥΛΙΑΝΟΣ ΠΑΦΙΛΗΣ ΑΘΑΝΑΣΙΟΣΣΕΛΙΔΑ 0007 ΡΗΓΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ ΣΚΟΤΙΝΙΩΤΗΣ ΠΑΝΑΓΙΩΤΗΣ ΣΚΥΛΑΚΟΣ ΑΝΤΩΝΗΣ ΣΠΑΘΗΣ ΘΕΟΔΩΡΟΣ ΣΤΡΙΦΤΑΡΗΣ ΣΠΥΡΟΣ ΦΑΡΑΚΟΣ ΓΡΗΓΟΡΗΣ ΧΑΤΖΗΔΗΜΗΤΡΙΟΥ ΤΡΑΪΑΝΟΣ""    "
κρητικος νικολαου παναγιωτης,04/07/1989,period 5,session 1,sitting 2,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' πειραιως,['δ αντιπροεδρος βουλης(07/03/1989-21/11/1989)'],male," Κύριοι συνάδελφοι, έχω την τιμή να ανακοινώσω το αποτέλεσμα της διεξαχθείσης επαναληπτικής μυστικής ψηφοφορίας. Ψήφισαν συνολικά 298 κύριοι Βουλευτές. Μετά την καταμέτρηση και διαλογή των ψήφων έλαβαν: Ο κ. Αθανάσιος Τσαλδάρης 144 ψήφους.   Ο κ. Ιωάννης Χαραλαμπόπουλος 124 ψήφους. Ευρέθησαν και 30 λευκά ψηφοδέλτια. Επομένως, με σχετική πλειοψηφία, σύμφωνα με το άρθρο 7 παρ.3 εδάφιο 2 του Κανονισμού της Βουλής, εκλέγεται Πρόεδρος της Βουλής της Ε` Περιόδου ο κ. Αθανάσιος Τσαλδάρης και παρακαλείται να καταλάβει την Προεδρική Έδρα.   Το Προεδρείο του εύχεται επιτυχία στο έργο του.  "
τσαλδαρης κωνσταντινου αθανασιος,04/07/1989,period 5,session 1,sitting 2,νεα δημοκρατια,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],επικρατειας,['ε προεδρος βουλης(07/04/1989-21/11/1989)'],male," Κυρίες και κύριοι συνάδελφοι, αναλαμβάνοντας την Προεδρία του Σώματος θα ήθελα κατ' αρχήν να ευχαριστήσω όσους με ψήφισαν. Αλλά θα ήθελα να ευχαριστήσω επίσης και όσους δεν με εψήφισαν. Το τεκμήριο της δημοκρατικότητος και συνεπώς και της νομιμότητος μιας εκλογής δεν είναι μόνο οι θετικές, αλλά είναι και οι αρνητικές ψήφοι. Δεν είναι μόνο τα ΝΑΙ, αλλά και τα ΟΧΙ που πιστοποιούν ότι το σύστημα λειτουργεί. Ο Πρόεδρος της Βουλής δεν είναι βέβαια πρόσωπο υπερκομματικό. Προέρχεται από κάποια παράταξη. Ο ρόλος όμως που καλείται να παίξει στο πλαίσιο του πολιτεύματος είναι υπερκομματικός, αντικειμενικός και αμερόληπτος. Και στις απαιτήσεις αυτού του ρόλου είμαι αποφασισμένος να ανταποκριθώ στο ακέραιο! Δεν ξέρω πόσο θα διαρκέσει η θητεία μου. Όταν όμως θα τερματισθεί, η μεγαλύτερη ικανοποίηση για μένα θα είναι να αναγνωρισθεί από όλες τις Πτέρυγες του Κοινοβουλίου ότι δεν μερολήπτησα υπέρ ή εναντίον οποιουδήποτε κόμματος. Αποδίδω άλλωστε πρωταρχική σημασία στην ομαλή και αποτελεσματική λειτουργία του κοινοβουλευτισμού. Είναι όρος εκ των ων ουκ άνευ για την ελεύθερη έκφραση όλων των πολιτικών και ιδεολογικών τάσεων του λαού μας. Το αναγκαίο πλαίσιο για τη διασφάλιση της πολιτικής μας ύπαρξης. Όταν ενεργούμε με τρόπο που τον υπονομεύει ή δυσχεραίνει τη λειτουργία του, είναι το ίδιο σαν να πριονίζουμε το κλαδί πάνω στο οποίο όλοι καθόμαστε. Ιδιαίτερα σήμερα που διανύουμε μια περίοδο ρευστότητας και οφείλουμε να είμαστε σε ύψιστο βαθμό προσηλωμένοι στους κανόνες λειτουργίας του πολιτεύματος. Στους κανόνες διεξαγωγής εντίμου πολιτικού παιχνιδιού γιατί μόνο αυτοί οι κανόνες εγγυώνται την ομαλή έξοδο από τη σημερινή μεταβατική κατάσταση. Το Κοινοβούλιο είναι ο ύψιστος θεσμός της Δημοκρατίας και συνεπώς ο καθρέπτης της πραγματικής φυσιογνωμίας της. Ας τον κρατήσουμε στο ανώτερο δυνατό επίπεδο. Υπό άλλες ομαλότερες συνθήκες, που να εγγυώνται σταθερότητα και διάρκεια, θα μπορούσαν να γίνουν πολλά για την εξύψωσή του. Παρά την τροποποίηση του Κανονισμού διαπιστώθηκαν αδυναμίες λειτουργικές και ουσιαστικές που πρέπει και μπορεί να εξαλειφθούν. Όμως, ένα τέτοιο έργο αναγκαίο κατά τα άλλα , δεν είναι της παρούσης ώρας. Θα έχουμε ελπίζω τις δυνατότητες και τις ευκαιρίες να το προωθήσουμε όταν θα δημιουργηθούν οι κατάλληλες συνθήκες . Προς το παρόν οφείλουμε όλοι να δώσουμε τον καλύτερο εαυτό μας στην προσπάθεια να επιτελέσει η Βουλή τα συγκεκριμένα καθήκοντα που έχει επωμισθεί. Και κυρίως να διασφαλίσουμε την ομαλή εξέλιξη της πολιτικής μας ζωής. Εξέλιξη που είναι αδιανόητη έξω από τα πλαίσια και τους κανόνες λειτουργίας της Κοινοβουλευτικής μας Δημοκρατίας. Αυτό υπαγορεύει το συμφέρον της Χώρας, το συμφέρον της κάθε παράταξης, το συμφέρον καθενός από μας. Αυτό απαιτεί ο Λαός από μας. Και αυτό, κυρίες και κύριοι συνάδελφοι, είναι το καθήκον μας.   Κύριοι συνάδελφοι, παρακαλώ τη Βουλή να εξουσιοδοτήσει το Προεδρείο για την επικύρωση των Πρακτικών της σημερινής συνεδριάσεως."
